allein;sólo
alt;viejo
das Alter;edad
ankommen;llegar
antworten;responder
der April;abril
die Arbeit;trabajo
arm;pobre
der August;agosto
das Bad;baño
die Bank;banco
benutzen;usar
böse;malo
der Brief;carta
das Buch;libro
das Café;cafetería
der Computer;ordenador
das Datum;fecha
die Definition;definición
das Deutschland;Alemania
der Dezember;diciembre
dick;grueso
der Doktor;doctor
der Dollar;dólar
einfach;simple
einfach;fácil
eintreten;entrar
eng;estrecho
das England;Inglaterra
essen;comer
fahren;ir
fallen;caer
die Familie;familia
die Farbe;color
der Februar;febrero
der Film;película
der Fluss;río
fragen;preguntar
die Frau;mujer
die Freizeit;ocio
der Fuß;pie
geben;dar
gehen;ir
generell;general
die Geschichte;historia
die Gesundheit;salud
glauben;creer
das Gold;oro
gratis;gratuito
groß;grande
groß;alto
groß;grande
grün;verde
die Gruppe;grupo
gut;bueno
haben;haber
haben;tener
der Hafen;puerto
die Hand;mano
die Hauptstadt;capital
das Haus;casa
heiß;caliente
die Hilfe;ayuda
hören;oír
das Hotel;hotel
die Information;información
intelligent;inteligente
das Jahr;año
der Januar;enero
der Juli;julio
der Juni;junio
der Kaffee;café
der Kalender;calendario
die Kategorie;categoria
kaufen;comprar
das Kino;cine
das Klavier;piano
kommen;venir
können;poder
die Kunst;arte
die Küste;costa
das Land;país
lang;largo
das Leben;vida
leben;vivir
lesen;leer
die Leute;gente
die Liebe;amor
links;izquierdo
die Liste;lista
der Abend;tarde
die Adresse;dirección
die Antwort;respuesta
arbeiten;trabajar
der Arm;brazo
das Auto;coche
baden;bañar
bauen;construir
bekommen;recibir
der Berg;montaña
der Beruf;profesión
die Beschreibung;descripción
der Besuch;visita
bezahlen;pagar
die Bibliothek;biblioteca
der Bikini;biquini
das Bild;cuadro
der Blick;mirada
das Boot;barco
das Brot;pan
das Büro;oficina
der Cent;céntimo
der Chef;jefe
definieren;definir
denken;pensar
der Dienstag;martes
der Donnerstag;jueves
dünn;delgado
die Ehefrau;mujer
das Ei;huevo
der Eintritt;entrada
die Eltern;padres
die Energie;energía
das Ergebnis;resultado
das Essen;comida
die Explosion;explosión
der Fehler;falta
das Fest;fiesta
die Firma;compañía
formulieren;formular
die Frage;pregunta
das Frankreich;Francia
die Frau;señora
der Freitag;viernes
die Freizeit;tiempo libre
der Freund;amigo
der Frieden;paz
die Garantie;garantía
der Garten;jardín
das Geld;dinero
das Geschäft;tienda
das Geschlecht;sexo
das Gesetz;ley
das Gewicht;peso
gewinnen;ganar
das Haar;pelo
die Haut;piel
helfen;ayudar
hoffen;esperar
hören;escuchar
die Hose;pantalón
der Hunger;hambre
der Hut;sombrero
die Karte;tarjeta
die Kinder;niños
das Klima;clima
der König;rey
die Kopie;copia
das Kreuz;cruz
der Krieg;guerra
die Küche;cocina
der Kunde;cliente
der Kurs;curso
die Länge;longitud
legen;poner
lernen;aprender
das Licht;luz
der Löwe;león
die Luft;aire
mögen;querer
mögen;gustar
der Mond;luna
der Montag;lunes
der Mund;boca
die Musik;música
müssen;tener que
die Mutter;madre
der Nachmittag;tarde
die Nachricht;mensaje
die Nacht;noche
die Natur;naturaleza
nehmen;tomar
der Norden;norte
öffnen;abrir
der Oktober;octubre
die Olive;oliva
der Ort;lugar
das Papier;papel
der Pass;pasaporte
der Patient;paciente
die Pause;pausa
der Pilot;piloto
die Realität;realidad
die Rose;rosa
die Sache;cosa
der Schauspieler;actor
schlafen;dormir
die Schokolade;chocolate
die Schule;escuela
der Schutz;protección
die Sekunde;segundo
setzen;poner
der Sommer;verano
der Sonntag;domingo
die Soße;salsa
das Spanien;España
spielen;jugar
die Sprache;idioma
sprechen;hablar
der Stein;piedra
der Stern;estrella
die Stimme;voz
der Strand;playa
die Straße;calle
die Tasche;bolsa
tauschen;cambiar
das Telefon;teléfono
das Ticket;billete
das Tier;animal
der Tisch;mesa
der Tourist;turista
die Tür;puerta
die Uhr;reloj
die Universität;universidad
der Urlaub;vacaciones
der Vater;padre
verkaufen;vender
der Verkehr;tráfico
verlassen;salir
verlieren;perder
verstehen;entender
das Weihnachten;Navidad
der Wein;vino
die Welt;mundo
die Wirtschaft;economía
wohnen;vivir
die Wohnung;piso
zählen;contar
die Zahlung;pago
die Zeitung;periódico
das Zimmer;cuarto
der Zug;tren
machen;hacer
der Mai;mayo
der Mais;maíz
der Mann;hombre
die Marke;marca
der Markt;mercado
der März;marzo
das Meer;mar
der Meter;metro
das Minimum;mínimo
die Minute;minuto
modern;moderno
möglich;posible
der Moment;momento
der Monat;mes
das Museum;museo
nah;cerca
der Name;nombre
natürlich;natural
neu;nuevo
der November;noviembre
das Öl;aceite
der Onkel;tío
orange;naranja
die Orange;naranja
der Osten;este
der Park;parque
die Party;fiesta
die Person;persona
der Planet;planeta
der Platz;plaza
die Position;posición
der Preis;precio
das Problem;problema
das Produkt;producto
das Projekt;proyecto
reich;rico
die Reise;viaje
reisen;viajar
das Restaurant;restaurante
der Rock;falda
sagen;decir
schreiben;escribir
der See;lago
sehen;ver
sein;ser
sein;estar
die Seite;página
der September;septiembre
die Sicherheit;seguridad
die Situation;situación
der Ski;esquí
die Sonne;sol
spät;tarde
der Sport;deporte
der Staat;estado
die Stadt;ciudad
der Student;estudiante
die Stunde;hora
suchen;buscar
der Süden;sur
süß;dulce
der Tag;día
das Tal;valle
die Tante;tía
der Tee;té
das Teil;parte
das Tennis;tenis
der Text;texto
das Theater;teatro
der Tourismus;turismo
der Transport;transporte
die Uhrzeit;hora
das Unternehmen;empresa
warm;caliente
das Wasser;agua
der Weg;camino
weiß;blanco
das Wetter;tiempo
der Wind;viento
der Winter;invierno
wissen;saber
wissen;conocer
die Woche;semana
das Wohnzimmer;salón
wollen;querer
das Wort;palabra
die Zeit;tiempo
das Zentrum;centro
